fips,county_name,state,n_single_family_homes,latitude,longitude
13247,Rockdale,GA,26695,33.697731000000005,-83.991734927513
13249,Schley,GA,1218,32.263653000000005,-84.32302389340312
13251,Screven,GA,3762,32.752175,-81.62199059826281
13253,Seminole,GA,3133,30.927871000000003,-84.8656394243391
13255,Spalding,GA,22112,33.271534,-84.25974746631209
13257,Stephens,GA,8518,34.5628144548827,-83.27433166197417
13259,Stewart,GA,1170,32.099137041811005,-84.84707629866523
13261,Sumter,GA,8368,32.097519000000005,-84.2162503153221
13263,Talbot,GA,1958,32.652296,-84.52880541296469
13265,Taliaferro,GA,595,33.590087499999996,-82.84709395806667
13267,Tattnall,GA,5432,32.06595,-82.06673766103769
13269,Taylor,GA,2246,32.5481295,-84.2372112202521
13271,Telfair,GA,3326,31.962159500000002,-82.9124004688037
13273,Terrell,GA,3177,31.809523499999997,-84.4376406385908
13275,Thomas,GA,13695,30.794240698983998,-83.91043728783158
13277,Tift,GA,10466,31.4494865,-83.5129361207798
13279,Toombs,GA,7126,32.067543,-82.33421144528063
13281,Towns,GA,6365,34.891603,-83.72467070821877
13283,Treutlen,GA,1904,32.397166999999996,-82.55340051194119
13285,Troup,GA,21705,33.001019514125346,-85.03674396491931
13287,Turner,GA,2475,31.750906,-83.62846520724882
13289,Twiggs,GA,2545,32.702893,-83.44733224239775
13291,Union,GA,11586,34.844153500000004,-83.94683633066475
13293,Upson,GA,8918,32.841361500000005,-84.2904818932872
13295,Walker,GA,22502,34.8033785,-85.32623656774507
13297,Walton,GA,30404,33.7015215,-83.7174067437387
13299,Ware,GA,10177,31.0160385,-82.36239050894937
13301,Warren,GA,1621,33.447113,-82.71543803745557
13303,Washington,GA,5260,33.002477999999996,-82.79665992065691
13305,Wayne,GA,7502,31.563366000000002,-81.91234687962944
13307,Webster,GA,555,32.027183,-84.54400866745915
13309,Wheeler,GA,1430,32.10758250000001,-82.76050554661973
13311,White,GA,10186,34.640159499999996,-83.76374802122778
13313,Whitfield,GA,25366,34.799544,-84.97993738123127
13315,Wilcox,GA,2186,32.006222,-83.45138464440319
13317,Wilkes,GA,3372,33.804016000000004,-82.7740214566648
13319,Wilkinson,GA,2781,32.799296999999996,-83.15537922938182
13321,Worth,GA,5216,31.5950025,-83.83925538704025
37001,Alamance,NC,48863,36.0763135,-79.39992512824165
37003,Alexander,NC,11322,35.908071,-81.1798669605887
37005,Alleghany,NC,6089,36.507612593584,-81.12588393020397
37007,Anson,NC,7039,34.967658,-80.08322991369378
37009,Ashe,NC,12619,36.440627,-81.49537821747424
37011,Avery,NC,9442,36.086652,-81.92147011866162
37013,Beaufort,NC,15502,35.495495,-76.88138323223573
37015,Bertie,NC,6191,36.018135,-76.94674362503598
37017,Bladen,NC,9890,34.6137585,-78.55840773826948
37019,Brunswick,NC,61561,34.103351,-78.22978646011838
37021,Buncombe,NC,82972,35.646271999999996,-82.57421707277484
37023,Burke,NC,27496,35.7809795,-81.75638907624504
37025,Cabarrus,NC,67743,35.297523999999996,-80.54565448239033
37027,Caldwell,NC,26569,35.942620000000005,-81.56226985267956
37029,Camden,NC,3376,36.3279,-76.114512493358
37031,Carteret,NC,30996,34.9033875,-76.4568776027873
37033,Caswell,NC,7711,36.39521060253535,-79.33437116425691
37035,Catawba,NC,47918,35.689978499999995,-81.20348971393788
